Ref #,State,Organization,Date,Fact-Check URL,Author,Title,Paywall — Wayback Machine Link,TV Alternate/Duplicate Link,Notes,Claimant Name // (Claim Source?),Type of Claimant,Political Designation,Party Affiliation,Current Officeholder?,Current Position,Running for Office?,Aspiring Position,Topic,Source of Statement,Fact-Check Format,Was a Definitive Rating Given?,Multiple claims?,DELETE,INDIVIDUAL RECORD,ECONOMIC ISSUES,GOVERNMENT OPERATIONS,VOTING/ELECTIONS,CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES,IMMIGRATION AND REFUGEE ISSUES,LGBTQ,RACE,RELIGION,SOCIAL WELFARE,EDUCATION,ABORTION/WOMEN,HEALTH,LAW AND CRIME AND POLICING,GUNS,HISTORY,LEGISLATION,AGRICULTURE,ENERGY AND ENVIRONMENT,COMMUNITY DEVELOPMENT AND HOUSING,TECHNOLOGY SCIENCE SPACE,MEDIA AND COMMUNICATIONS
269,Illinois,PolitiFact Illinois,3/6/2022,https://www.politifact.com/factchecks/2022/mar/06/richard-irvin/aurora-mayor-richard-irvin-says-he-reduced-homicid/,Analisa Trofimuk,Aurora Mayor Richard Irvin says he reduced homicides by 40% his first year in office,,,,Richard Irvin,Political,Politician,Republican,Yes,Mayor,Yes,Governor,"Individual Record, Law and Crime and Policing",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270,Illinois,PolitiFact Illinois,4/1/2022,https://www.politifact.com/factchecks/2022/apr/01/tammy-duckworth/Duckworth-overstates-specifics-of-gender-pay-gap/,Analisa Trofimuk,Duckworth overstates specifics of gender pay gap study,,,,Tammy Duckworth,Political,Politician,Democratic,Yes,U.S. Senator,Yes,U.S. Senator,"Economic Issues, Women",Social Media,Article,Yes,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Illinois,PolitiFact Illinois,4/17/2022,https://www.politifact.com/factchecks/2022/apr/17/mary-miller/rep-mary-miller-says-white-house-encouraging-kids-/,Analisa Trofimuk,"Rep. Mary Miller says White House is encouraging kids to take ""castration"" drugs, undergo surgeries",,,,Mary Miller,Political,Politician,Republican,Yes,U.S. Representative,Yes,U.S. Representative,"Individual Record, LGBTQ",Social Media,Article,Yes,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Illinois,PolitiFact Illinois,5/1/2022,https://www.politifact.com/factchecks/2022/may/01/keith-pekau/orland-park-mayor-says-crime-lowest-nearly-three-d/,Analisa Trofimuk,Orland Park Mayor says crime at lowest in nearly three decades,,,,Keith Pekau,Political,Politician,Republican,Yes,Mayor,Yes,U.S. Representative,"Individual Record, Law and Crime and Policing",Advertisement,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
273,Illinois,PolitiFact Illinois,6/3/2022,https://www.politifact.com/factchecks/2022/jun/03/greg-abbott/texas-gov-greg-abbott-claims-chicagos-tougher-gun-/,Analisa Trofimuk,Texas Gov. Greg Abbott claims Chicago’s 'tougher' gun laws fail to prevent gun violence,,,,Greg Abbott,Political,Politician,Republican,Yes,Governor,Yes,Governor,Guns,Speech/Remarks,Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274,Iowa,Gazette Fact Checker,1/10/2022,https://www.thegazette.com/government-politics/fact-checker-hinson-leaves-out-details-about-payment-to-migrants/,Gazette Fact Checker team,Fact Checker: Hinson leaves out details about payment to migrants,https://web.archive.org/web/20220122233405/https://www.thegazette.com/government-politics/fact-checker-hinson-leaves-out-details-about-payment-to-migrants/,,,Ashley Hinson,Political,Politician,Republican,Yes,U.S. Representative,Yes,U.S. Representative,"Individual Record, Economic Issues, Immigration and Refugee Issues",Social Media,Audio + Article,Yes,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,may need to be split,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Community Development and Housing,Speech/Remarks,Audio + Article,Yes,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Economic Issues, Legislation",Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Government Operations,Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Education, Government Operations",Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Education, Government Operations",Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/12/2022,https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,Gazette Fact Checker team,Fact checking 10 claims in Reynolds’ Condition of the State,https://web.archive.org/web/20220121140536/https://www.thegazette.com/state-government/fact-checker-reynolds-condition-of-the-state-address-scores-as-on-all-but-two-claims/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Energy and Environment,Speech/Remarks,Audio + Article,Yes,B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
276,Iowa,Gazette Fact Checker,1/24/2022,https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,Gazette Fact Checker team,Fact Checker: Iowa U.S. Rep. Cindy Axne boasts 2021 legislative victories,https://web.archive.org/web/20220128064715/https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,,,Cindy Axne,Political,Politician,Democratic,Yes,U.S. Representative,Yes,U.S. Representative,"Legislation, Individual Record",Speech/Remarks,Audio + Article,Yes,A,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/24/2022,https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,Gazette Fact Checker team,Fact Checker: Iowa U.S. Rep. Cindy Axne boasts 2021 legislative victories,https://web.archive.org/web/20220128064715/https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,,,Cindy Axne,Political,Politician,Democratic,Yes,U.S. Representative,Yes,U.S. Representative,Government Operations,Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,1/24/2022,https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,Gazette Fact Checker team,Fact Checker: Iowa U.S. Rep. Cindy Axne boasts 2021 legislative victories,https://web.archive.org/web/20220128064715/https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,,,Cindy Axne,Political,Politician,Democratic,Yes,U.S. Representative,Yes,U.S. Representative,"Government Operations, Community Development and Housing",Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Iowa,Gazette Fact Checker,1/24/2022,https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,Gazette Fact Checker team,Fact Checker: Iowa U.S. Rep. Cindy Axne boasts 2021 legislative victories,https://web.archive.org/web/20220128064715/https://www.thegazette.com/federal-government/fact-checker-iowa-u-s-rep-cindy-axne-boasts-2021-legislative-victories/,,,Cindy Axne,Political,Politician,Democratic,Yes,U.S. Representative,Yes,U.S. Representative,Government Operations,Speech/Remarks,Audio + Article,Yes,B,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Iowa,Gazette Fact Checker,1/31/2022,https://www.thegazette.com/federal-government/fact-checker-did-police-killings-reach-highest-level-since-9-11/,Gazette Fact Checker team,Have police killings reached their highest level since 9/11?,https://web.archive.org/web/20220208151048/https://www.thegazette.com/federal-government/fact-checker-did-police-killings-reach-highest-level-since-9-11/,,,Chuck Grassley,Political,Politician,Republican,Yes,U.S. Senator,Yes,U.S. Senator,"Law and Crime and Policing, History",Social Media,Audio + Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
278,Iowa,Gazette Fact Checker,2/7/2022,https://www.thegazette.com/state-government/fact-checker-do-states-with-low-income-tax-see-more-growth-than-states-with-high-taxes/,Gazette Fact Checker team,Fact Checker: Do states with low taxes see more growth?,https://web.archive.org/web/20220304023607/https://www.thegazette.com/state-government/fact-checker-do-states-with-low-income-tax-see-more-growth-than-states-with-high-taxes/,,,Mike Klimesh,Political,Politician,Republican,Yes,State Legislator,Yes,State Legislator,Economic Issues,Written Statement,Audio + Article,Yes,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Iowa,Gazette Fact Checker,2/22/2022,https://www.thegazette.com/state-government/fact-checker-democrats-claim-gov-kim-reynolds-proposed-cutting-iowa-state-patrol-budget/,Gazette Fact Checker team,Fact Checker: Iowa Dems target Reynolds’ proposed State Patrol cuts,https://web.archive.org/web/20220311001525/https://www.thegazette.com/state-government/fact-checker-democrats-claim-gov-kim-reynolds-proposed-cutting-iowa-state-patrol-budget/,,,Iowa Senate Democrats,Political,Political organization,Democratic,,,,,"Government Issues, Law and Crime and Policing",Social Media,Audio + Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,Iowa,Gazette Fact Checker,2/23/2022,https://www.thegazette.com/health-care-medicine/fact-checker-are-hospitalizations-in-iowa-primarily-because-of-covid-19-decreasing/,Gazette Fact Checker team,Fact Checker: Are hospitalizations primarily because of COVID-19 decreasing?,https://web.archive.org/web/20220317081329/https://www.thegazette.com/health-care-medicine/fact-checker-are-hospitalizations-in-iowa-primarily-because-of-covid-19-decreasing/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Health,Speech/Remarks,Audio + Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
281,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,may need to be split,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Government Operations,Speech/Remarks,Audio + Article,Yes,A,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Economic Issues, Legislation",Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Health, Immigration and Refugee Issues",Speech/Remarks,Audio + Article,Yes,B,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Health, Education, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Health, Education, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Immigration and Refugee Issues, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Immigration and Refugee Issues, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,"Economic Issues, Legislation",Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/3/2022,https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,Gazette Fact Checker team,Fact Checker: Gov. Kim Reynolds scores mixed grades in response to the State of the Union,https://web.archive.org/web/20220323174020/https://www.thegazette.com/national-politics/fact-checker-gov-kim-reynolds-scores-mixed-grades-in-response-to-the-state-of-the-union/,,,Kim Reynolds,Political,Politician,Republican,Yes,Governor,Yes,Governor,Economic Issues,Speech/Remarks,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Iowa,Gazette Fact Checker,3/4/2022,https://www.thegazette.com/federal-government/fact-checker-would-harm-reduction-grants-pay-for-crack-pipes/,Gazette Fact Checker team,Fact Checker: Federal grant program won’t pay for crack pipes,https://web.archive.org/web/20220321131339/https://www.thegazette.com/federal-government/fact-checker-would-harm-reduction-grants-pay-for-crack-pipes/,,,Joni Ernst,Political,Politician,Republican,Yes,U.S. Senator,No,,"Legislation, Economic Issues, Health",Written Statement,Audio + Article,Yes,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
283,Iowa,Gazette Fact Checker,3/20/2022,https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,Gazette Fact Checker team,Fact Checker: Is Gov. Reynolds a climate change denier?,https://web.archive.org/web/20220327011146/https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,,may need to be split,Joe Bolkcom,Political,Politician,Democratic,Yes,State Legislator,No,,Community Housing and Development,Speech/Remarks,Audio + Article,Yes,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/20/2022,https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,Gazette Fact Checker team,Fact Checker: Is Gov. Reynolds a climate change denier?,https://web.archive.org/web/20220327011146/https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,,,Joe Bolkcom,Political,Politician,Democratic,Yes,State Legislator,No,,Education,Speech/Remarks,Audio + Article,Yes,B,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Iowa,Gazette Fact Checker,3/20/2022,https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,Gazette Fact Checker team,Fact Checker: Is Gov. Reynolds a climate change denier?,https://web.archive.org/web/20220327011146/https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,,,Joe Bolkcom,Political,Politician,Democratic,Yes,State Legislator,No,,"Energy and Environment, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Iowa,Gazette Fact Checker,3/20/2022,https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,Gazette Fact Checker team,Fact Checker: Is Gov. Reynolds a climate change denier?,https://web.archive.org/web/20220327011146/https://www.thegazette.com/government-politics/fact-checker-does-gov-kim-reynolds-deny-climate-change/,,,Joe Bolkcom,Political,Politician,Democratic,Yes,State Legislator,No,,"Voting/Elections, Individual Record",Speech/Remarks,Audio + Article,Yes,B,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Iowa,Gazette Fact Checker,3/28/2022,https://www.thegazette.com/government-politics/fact-checker-does-science-support-mask-use-on-planes/,Gazette Fact Checker team,Fact Checker: Is there scientific evidence for masks on planes?,https://web.archive.org/web/20220329072038/https://www.thegazette.com/government-politics/fact-checker-does-science-support-mask-use-on-planes/,,,Mariannette Miller-Meeks,Political,Politician,Republican,Yes,U.S. Representative,Yes,U.S. Representative,"Health, Technology Science Space",Social Media,Audio + Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
285,Iowa,Gazette Fact Checker,4/4/2022,https://www.thegazette.com/government-politics/fact-checker-abby-finkenauer-says-chuck-grassley-tried-to-dump-obamacare-12-times/,Gazette Fact Checker team,Fact Checker: Grassley’s attempts to dump Obamacare,https://web.archive.org/web/20220405063942/https://www.thegazette.com/government-politics/fact-checker-abby-finkenauer-says-chuck-grassley-tried-to-dump-obamacare-12-times/,,,Abby Finkenauer,Political,Politician,Democratic,No,,Yes,U.S. Senator,"Legislation, Individual Record",Social Media,Audio + Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
286,Iowa,Gazette Fact Checker,4/9/2022,https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,Gazette Fact Checker team,Fact Checker: Are MidAmerican coal plants ‘not needed’ in Iowa?,https://web.archive.org/web/20220421082138/https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,,may need to be split,Iowa Environmental Council,Political,Political organization,Progressive,,,,,Energy and Environment,Advertisement,Audio + Article,Yes,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Iowa,Gazette Fact Checker,4/9/2022,https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,Gazette Fact Checker team,Fact Checker: Are MidAmerican coal plants ‘not needed’ in Iowa?,https://web.archive.org/web/20220421082138/https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,,,Iowa Environmental Council,Political,Political organization,Progressive,,,,,Energy and Environment,Advertisement,Audio + Article,Yes,B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Iowa,Gazette Fact Checker,4/9/2022,https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,Gazette Fact Checker team,Fact Checker: Are MidAmerican coal plants ‘not needed’ in Iowa?,https://web.archive.org/web/20220421082138/https://www.thegazette.com/government-politics/fact-checker-are-midamerican-coal-plants-not-needed-in-iowa/,,,Iowa Environmental Council,Political,Political organization,Progressive,,,,,"Energy and Environment, Economic Issues",Advertisement,Audio + Article,Yes,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
287,Iowa,Gazette Fact Checker,4/19/2022,https://www.thegazette.com/government-politics/fact-checker-ashley-hinsons-and-randy-feenstras-votes-on-insulin-copay/,Gazette Fact Checker team,Fact Checker: Hinson’s and Feenstra’s votes on insulin copay,https://web.archive.org/web/20220430192921/https://www.thegazette.com/government-politics/fact-checker-ashley-hinsons-and-randy-feenstras-votes-on-insulin-copay/,,,Ross Wilburn,Political,Politician,Democratic,Yes,State Legislator,Yes,State Legislator,"Individual Record, Health",Written Statement,Audio + Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
